date,open,high,low,close,volume,target,sma_7,sma_30,volatility,momentum_3d
2025-06-24,105333.94,106290.0,104622.02,106083.0,14651.69335,1,103906.30999999998,105653.30533333334,0.015835161962041825,0.0388071838222499
2025-06-25,106083.0,108135.3,105808.03,107340.58,16701.15551,0,104256.85285714285,105583.49833333334,0.021938199334483415,0.06315833574921403
2025-06-26,107340.59,108272.45,106562.5,106947.06,10573.27279,1,104583.77714285713,105517.128,0.01593013416453177,0.015314438566946142
2025-06-27,106947.06,107735.34,106356.76,107047.59,12232.44042,1,105119.43428571428,105492.655,0.012890302921838168,0.009092785837504502
2025-06-28,107047.58,107577.75,106811.51,107296.79,3282.17352,1,105858.9742857143,105549.55633333333,0.007157938554052368,-0.00040795382324199103
2025-06-29,107296.79,108528.5,107172.52,108356.93,6831.7364,0,106915.12571428569,105695.27133333332,0.012637656727661619,0.013182877584479558
2025-06-30,108356.93,108789.99,106733.33,107146.5,9754.12491,0,107174.06428571428,105780.42533333333,0.01898041961875446,0.0009239815674504381
2025-07-01,107146.51,107540.0,105250.85,105681.14,10505.62437,1,107116.6557142857,105781.699,0.021364671607129286,-0.015057766406618489
2025-07-02,105681.13,109730.0,105100.19,108849.6,17691.89592,1,107332.23,105881.41933333334,0.043809240116944224,0.004546732728585079
2025-07-03,108849.59,110529.18,108530.4,109584.78,13047.08225,0,107709.04714285713,106021.68233333333,0.01836277013078321,0.022756506278786448
2025-07-04,109584.77,109767.59,107245.0,107984.24,11793.86615,1,107842.85428571429,106131.26166666667,0.023019530907442673,0.021792914043130107
2025-07-05,107984.25,108420.56,107756.31,108198.12,3736.9757,1,107971.61571428571,106354.243,0.00615136003630159,-0.005985139127750672
2025-07-06,108198.12,109700.0,107800.01,109203.84,6447.607,0,108092.60285714285,106518.08966666667,0.017560286629749254,-0.003476212663838907
2025-07-07,109203.85,109700.0,107513.2,108262.94,9405.37601,1,108252.0942857143,106608.44933333334,0.02002493501831669,0.0025809321804737273
2025-07-08,108262.94,109216.56,107429.57,108922.98,9216.0208,1,108715.21428571429,106714.74866666667,0.016506017664031574,0.006699377031689657
2025-07-09,108922.99,111999.79,108324.53,111233.99,17282.2865,1,109055.84142857142,106747.11433333332,0.03374182071204614,0.01859046348553317
2025-07-10,111234.0,116868.0,110500.0,116010.0,24883.450665,1,109973.73,106938.30133333334,0.05724868295664994,0.07155782024763035
2025-07-11,116010.01,118869.98,115222.22,117527.66,25873.521148,0,111337.07571428572,107234.386,0.03144349353991087,0.07899783865626886
2025-07-12,117527.66,118200.0,116900.05,117420.0,8446.60437,1,112654.48714285715,107625.99500000001,0.011060800495815173,0.055612587483376164
2025-07-13,117420.0,119488.0,117224.79,119086.64,9550.792947,1,114066.31571428572,108059.99666666666,0.01927448475557832,0.026520472373071202
2025-07-14,119086.65,123218.0,118905.18,119841.18,27269.348877,0,115720.34999999999,108540.88133333334,0.03621581428312919,0.019684898006137264
